882966,Sebastian Etzel,5/20/1970
189028,Lucien Goodwyn,5/2/1959
479122,Dennis Salzman,9/30/1987
484002,Efren Ealey,8/6/1971
677207,Dominic Reich,4/21/1971
751833,Rocky River,7/23/1968
954117,Porfirio Still,6/2/1962
791004,Jay Gebhard,8/12/1976
115794,Aaron Mcphail,8/11/1969
690632,Freddie Dockery,5/16/1960
374049,Milford Standard,2/1/1991
600003,Rueben Marker,6/30/1986
482416,Joshua Bachmann,1/21/1969
432128,Emery Santillan,7/7/1968
625472,Laurence Dubuc,9/3/1987
751331,Jon Demaria,1/29/1967
200523,Garth Pollard,12/31/1973
983754,Donny Gonsalves,3/27/1993
963867,Everette Cull,5/19/1993
200772,Arlen Eoff,5/19/1977
680542,Jordon Bledsoe,11/30/1969
614227,Morris Paradise,10/17/1981
860860,Nathan Fludd,4/29/1962
811228,Lenard Korhonen,3/14/1994
833768,Lupe Quirion,11/14/1981
645216,Courtney Nickerson,11/22/1964
406998,Dante Deshotel,11/26/1975
811050,Porter Stolte,8/3/1970
697366,Omar Yost,1/27/1977
798564,Reuben Funke,3/23/1959
936756,Harland Demoss,6/13/1989
919043,Gaylord Mouzon,4/5/1972
837144,Ben Luther,4/27/1962
987952,Ellsworth Kromer,12/14/1986
542417,Frank Bingham,8/25/1968
913908,Van Mcneel,3/25/1963
194780,Rodrigo Rodriquez,7/2/1964
666128,Rusty Rolling,4/17/1978
476858,Jonah Carriere,12/25/1986
870351,Dustin Janney,3/11/1981
379487,Marc Tubbs,2/21/1972
172120,Ignacio Gillan,11/13/1985
222988,Noah Huhn,5/18/1972
839642,Noble Till,2/24/1962
404123,Grover Hentges,11/9/1993
522909,Brady Czarnecki,5/5/1970
785420,Andrea Vinyard,7/22/1960
752391,Wayne Edmond,9/28/1993
532413,Ismael Funes,12/6/1960
760652,Harlan Cauley,10/22/1975
204354,Jeramy Moats,8/14/1958
543547,Chi Rentschler,12/14/1983
126174,Tad Seay,8/22/1980
855453,Edwardo Dagostino,5/17/1993
847251,Norberto Hammes,7/11/1964
499624,Lauren Mason,5/26/1992
159202,Jose Dampier,12/30/1965
385927,Frank Trinidad,8/31/1980
922713,Hank Jo,8/7/1986
939252,Archie Brucker,1/6/1977
620049,Royal Detweiler,1/11/1967
997526,Danny Teixeira,3/29/1959
438826,Edwin Basil,1/14/1985
338180,Alonzo Southerland,5/28/1969
803692,Myles Gourdine,5/28/1995
194212,Rickey Coen,2/13/1995
272596,Mckinley Routh,5/19/1969
787608,Frederick Lovejoy,6/6/1977
714307,Tommie Dewees,12/16/1965
463452,Leslie Upham,5/29/1984
572732,Jerrell Baltzell,1/2/1979
341409,Preston Kells,9/17/1965
912496,Desmond Kleinschmidt,1/6/1989
845665,Ollie Figueredo,8/9/1984
273534,Christoper Caudill,9/5/1985
696686,Agustin Phu,1/17/1992
806950,Benito Lineberry,2/21/1961
281442,Joseph Shotwell,3/29/1961
386557,Orval Utter,1/12/1991
874327,Buck Galindo,1/14/1993
723896,Tyron Moyle,5/23/1974
292107,Fletcher Fell,4/15/1963
403392,Vernon Nau,1/18/1968
899561,Brady Leader,7/3/1959
643205,Damian Chamberland,1/4/1985
771375,Kraig Class,9/21/1986
253997,Oren Azevedo,7/19/1958
371398,Rodolfo Dunkle,11/27/1994
934506,Haywood Patchett,10/30/1988
443695,Carroll Reason,1/14/1994
709478,Clark Mangan,9/18/1975
809860,Errol Harbert,2/3/1984
648853,Terrell Daigneault,10/21/1962
211463,Clayton Mcnabb,9/10/1972
451530,Boris Hooks,8/16/1984
225416,Willis Engelhardt,7/19/1963
477053,Wilber Rehberg,6/13/1962
502252,Kevin Velasquez,7/31/1993
475214,Dalton Nolette,9/17/1960
355101,Israel Polston,12/21/1984
596897,Andy Metoyer,6/3/1985
616028,Oscar Ary,9/5/1957
713963,Chong Rancourt,3/15/1987
787509,Mauricio Joly,11/22/1978
520374,Chet Whitefield,1/5/1991
961267,Dennis Madrid,5/1/1966
442352,Jospeh Llanos,10/14/1962
421134,Laurence Meyers,12/29/1968
940897,Marlon Riche,8/13/1958
179949,Rayford Teer,12/9/1989
678883,Philip Lucius,11/28/1971
922696,Elroy Bizzell,9/17/1974
469415,Porter Upton,2/24/1985
494786,Austin Franko,6/3/1965
588757,Marco Mapp,6/8/1992
629922,Santiago Lander,9/23/1991
592744,Kerry Arend,10/7/1992
834216,Harland Tso,7/31/1971
331100,Arlen Bonin,2/6/1993
232104,Margarito Borchers,6/23/1972
187458,Ian Dryer,3/2/1982
846298,Hiram Braggs,10/12/1975
572850,Tracy Vath,12/19/1991
672871,Mickey Resto,8/1/1962
922665,Eugenio Collman,2/24/1974
690374,Jefferson Laffoon,5/8/1970
447089,Clint Duchesne,12/22/1958
386306,Cyril Glidewell,6/3/1964
440563,Herschel Liner,2/16/1990
162070,Carroll Slocum,1/30/1992
178049,Stacy Monti,5/12/1991
755276,Adolph Pinkard,8/7/1995
870329,Toby Leonetti,8/27/1993
707189,Allen Grindstaff,10/18/1985
372771,Luis Ancheta,5/5/1982
236431,Rashad Dellinger,7/2/1991
675344,Jesus Keough,11/14/1987
546704,Stephen Grizzard,10/5/1979
646110,Danny Hales,5/22/1991
262987,Kristofer Harness,9/10/1980
944852,Gale Olinger,1/5/1996
690653,Mckinley Ferebee,3/23/1988
245732,Bob Jolin,11/20/1990
703053,Reinaldo Gorden,6/26/1987
352304,Winfred Stroh,12/23/1963
507578,Denny Lofgren,12/15/1991
677117,Graham Saito,7/30/1963
873522,Sid Gard,6/11/1973
113681,Blair Schoenberg,9/6/1974
627309,Mack Strayhorn,9/11/1957
550781,Lon Glidden,1/4/1961
776187,Ted Bose,11/2/1973
279169,Paris Sweeney,9/22/1994
732625,Jc Lenahan,8/12/1974
429493,Clair Avendano,2/23/1967
778287,Ian Crutchfield,3/17/1961
691486,Nicky Hagaman,10/30/1971
239814,Rolland Elsea,12/15/1961
786616,Carson Confer,10/14/1995
626407,Kendall Maldanado,10/11/1981
388664,Quintin Barra,4/3/1971
979224,Reuben Haffner,5/21/1961
186657,Jake Rush,2/13/1993
460356,Ben Sylvester,1/28/1980
784604,Isaac Abram,6/5/1961
320269,Brice Vaz,7/30/1961
799158,Bob Honore,3/4/1974
271508,Alberto Womble,4/22/1974
182961,Don Leonardo,5/1/1989
518643,Dewitt Helsel,8/31/1995
801473,Salvador Messerly,4/22/1964
472244,Alec Harvey,12/9/1958
957705,Alvaro Wheless,2/26/1966
507996,Leonel Imai,11/4/1965
337103,Horacio Gow,10/4/1979
909841,August Tarkington,2/22/1963
955896,Maynard Macpherson,8/3/1959
358260,Mauro Aikin,9/4/1974
585139,Herb Hembree,2/28/1969
991471,Bud Holtzclaw,5/6/1992
233793,Rosario Peralta,6/21/1979
622875,Hank Durfee,10/14/1993
385262,Merlin Sturdevant,12/10/1988
920313,Seymour Lavalley,10/4/1969
904082,Scottie Bice,4/18/1958
130454,Scot Dudek,4/21/1961
196076,Dante Castellanos,12/15/1988
487219,Dewayne Marinelli,9/18/1989
983093,Thaddeus Burchette,8/3/1965
220895,Jules Childers,3/25/1996
942332,Shane Vella,11/15/1987
751273,Numbers Retana,5/21/1986
904691,Jeremiah Goering,7/12/1993
314824,Isidro Osman,3/12/1989
417704,Ashley Pharr,9/26/1975
609229,Kieth Betancourt,2/14/1987
478609,Martin Hiltz,6/7/1976
816378,Santo Silvis,9/19/1972
576455,Maximo Poor,6/8/1972
698295,Beau Kahle,1/11/1976
515448,Wyatt Harmer,3/3/1966
904862,Billie Shivers,10/22/1984
825109,Thaddeus Hinkson,3/27/1969
410017,Alberto Garica,6/3/1991
229456,Jake Harrell,9/18/1995
993092,Daron Zajicek,7/7/1971
425219,Jerald Klein,3/30/1987
459729,Steve Skipworth,5/22/1989
196857,Forest Ressler,9/22/1981
963500,Jerome Riles,4/23/1962
229489,Ward Petrey,12/17/1979
344880,Julian Keitt,3/24/1980
203080,Leon Harriss,11/25/1977
404249,Mike Pennington,9/1/1972
195655,Woodrow Banh,9/18/1969
470038,Marc Chess,12/23/1969
867754,Thurman Ramsey,7/29/1960
845340,Dannie Bryce,7/28/1984
678154,Cecil Donald,3/8/1989
938556,Thaddeus Shockley,11/21/1979
158598,Marquis Blakemore,3/4/1965
216949,Richard Deforest,12/27/1965
386459,Armand Laster,12/16/1983
566460,Roberto Herzig,12/26/1987
794199,Marcelo Thill,9/26/1988
863315,Lucius Knupp,4/26/1968
787856,Leigh Candelaria,12/4/1987
563007,Lindsey Ramsdell,7/5/1987
980123,Hubert Reilly,6/21/1970
889961,Willis Kitchens,12/27/1989
954665,Winfred Morel,11/16/1986
433458,Benedict Akers,6/9/1967
478361,Parker Belew,2/5/1967
844249,Alfonso Mckeown,12/1/1995
633684,Winford Culbreth,12/10/1976
326306,Rupert Beyer,12/16/1970
676770,Elwood Macey,7/2/1977
840384,Orville Starkey,1/2/1976
871191,Hung Raker,2/8/1984
936049,Sammie Taylor,1/13/1959
436300,Mac Villalta,3/10/1962
573297,Keenan Centers,8/5/1964
415723,Dudley Thoman,9/29/1966
961526,Connie Ginn,10/23/1985
160432,Mark Kimbler,9/20/1979
443652,Sherwood Mealy,1/15/1982
343070,Xavier Harry,1/10/1991
119806,Hunter Staples,3/29/1984
753519,Adrian Spier,5/2/1972
238394,Connie Sevier,3/18/1976
903504,Noe Slavens,7/29/1977
604519,Colton Aponte,6/15/1980
134667,Shayne Savoy,4/28/1980
700200,Ramiro Sachs,12/4/1958
368998,Blake Schindler,10/12/1993
766413,George Fegley,4/27/1996
640521,Andy Comes,8/19/1966
874697,Newton Fogle,6/17/1986
324893,Chang Gigliotti,6/24/1961
571689,Scotty Fitzmaurice,12/23/1990
650257,Charlie Halloway,4/2/1992
124351,Armand Fang,2/25/1984
517119,Jonathan Winsor,4/4/1988
171443,Kelly Zeringue,4/10/1958
655032,Donald Royal,11/21/1962
364582,Cliff Houghton,10/11/1960
143865,Dewitt Valadez,3/13/1958
471110,Vincenzo Sanderson,3/31/1985
660761,Ed Dinh,3/29/1960
522094,Mauro Folkerts,1/20/1989
258352,Jesus Millman,2/4/1980
366579,Tod Demmer,10/11/1959
479779,Tory Willilams,9/1/1988
993207,Bradley Garney,4/13/1991
171617,Patrick Mair,3/24/1978
424744,Antione Lingle,11/10/1979
244737,Judson Jasmin,9/2/1994
324418,Rudolf Mcclung,9/1/1992
299730,Clair Hosey,8/30/1984
564062,Arnoldo Scheffel,4/27/1983
255819,Sebastian Rhymes,5/4/1964
115173,Delmer Ledezma,12/9/1984
788794,Dewitt Finnerty,11/15/1963
623997,Virgil Baskin,3/8/1962
161301,Edmond Mcnees,10/23/1981
365092,Hiram Rodger,10/14/1984
362171,Phillip Massey,2/11/1988
267798,Nathaniel Dials,3/1/1982
138101,Bart Wilkie,12/4/1975
376746,Randolph Abbas,5/28/1975
723258,Marcus Dice,2/6/1984
885276,Pasquale Hobart,4/18/1968
516788,Chad Foran,7/29/1973
769549,Rufus Knee,12/16/1964
513818,Kory Lukasik,5/1/1986
606693,Van Ours,4/14/1958
739907,Stephan Reiser,4/15/1963
382528,Woodrow Buffum,2/3/1967
161207,Johnson Stolte,9/19/1961
205541,Sergio Spangler,1/28/1966
320315,Micheal Lambert,8/26/1992
510445,Renato Haugland,6/10/1981
725592,Phil Coffman,12/13/1984
334653,Kip Portillo,5/21/1962
910628,Nolan Cleek,12/15/1992
473230,Sam Pendergrass,2/26/1974
302729,Arthur Tschida,3/8/1985
762311,Rick Cramer,2/13/1972
594884,Lavern Tartt,7/9/1993
518769,Jeramy Balser,4/27/1975
426746,Gustavo Baumbach,5/17/1960
719473,Virgil Escoto,12/14/1976
846879,Jamal Monty,4/23/1985
503453,Matthew Meaney,7/12/1981
250689,Lino Lawrence,10/26/1957
358103,Antone Frisby,10/15/1973
377387,Winfred Iler,5/18/1979
572735,Terrence Esqueda,5/14/1975
727088,Vance Hogan,9/12/1976
653949,Johnathon Hennings,3/25/1994
759163,Guadalupe Thor,5/22/1987
286131,Lanny Maloof,11/17/1983
121839,Adam Shiflett,7/28/1987
864878,Alexis Timko,3/9/1968
718606,Vicente Calvert,2/27/1963
631109,Elwood Say,2/14/1981
416984,Tommie Heldt,11/2/1990
655875,Jarrod Marcantel,3/18/1977
427429,Frances Fitzwater,1/12/1978
925865,Darell Dearing,8/15/1985
602378,Delmar Arvizu,4/9/1958
668488,Ronald Sutton,3/4/1962
683211,Grant Linneman,7/22/1967
388769,Dewey Veiga,11/26/1962
856243,Adam Moxley,6/12/1969
645825,Collin Dunfee,8/7/1976
534402,Margarito Southwick,10/18/1984
818922,Jordan Mccloy,12/10/1961
725725,Dusty Fullwood,5/18/1958
446449,Sherwood Mcgahey,5/2/1972
460873,Eduardo Blair,1/6/1986
610039,Kareem Morales,9/18/1978
196339,Stuart Barna,11/17/1966
391594,Caleb Witmer,11/21/1974
443363,Carol Michalski,1/14/1967
542124,Lazaro Zebrowski,9/19/1975
983635,Lee Kistner,2/28/1969
945724,Brent Babbitt,1/15/1986
921816,Tyree Partin,10/7/1982
906464,Mitchell Mullins,5/19/1979
935973,Philip Baumer,4/13/1969
841532,Terrance Tunney,4/24/1964
420372,Young Canaday,10/16/1971
630629,Jaime Renninger,8/23/1982
215082,Jarrett Outland,8/23/1981
760496,Wyatt Pecora,6/2/1961
505711,Harlan Dart,9/29/1970
181254,Wyatt Berg,6/10/1964
587728,Anton Rollo,7/17/1972
124546,Toby Janzen,10/28/1985
300932,Lesley Blow,11/23/1977
244592,Marquis Marini,2/19/1987
495154,Giuseppe Luse,7/31/1996
332172,Delmer Rake,4/10/1983
999450,Derek Jalbert,8/20/1972
629290,Gaylord Duquette,2/28/1982
122527,Kieth Riddle,4/18/1982
216763,Randall Priolo,3/12/1973
823324,Ignacio Gallaher,12/9/1973
280281,Rob Mcfarlin,5/18/1964
468382,Harry Flakes,7/4/1985
616047,Errol Garon,4/1/1990
870481,Wilburn Syed,11/24/1981
181560,Quintin Owenby,8/15/1973
858512,Garret Rueb,12/10/1974
274869,Wilson Hofman,11/14/1986
517496,Lyle Catania,3/29/1958
258963,Franklyn Vanhook,4/2/1977
237631,Vicente Barnes,8/31/1968
859083,Milford Outen,9/15/1969
155697,Winston Howland,9/30/1962
949610,Danny Cairns,8/7/1967
461046,Xavier Hoeft,8/9/1975
636103,Vincent Metivier,2/10/1980
593951,Bennie Rene,11/6/1977
549128,Russell Mazurek,6/12/1981
919653,Johnny Olguin,1/21/1976
822130,Vito Yeager,9/24/1957
905879,Kurtis Ostlund,2/6/1967
781096,Rich Mallon,8/19/1963
498273,Herschel Recio,3/2/1980
596037,Tim Farthing,11/12/1993
943749,Rosario Isaac,8/15/1972
144266,Anderson Hollowell,5/20/1981
645092,Yong Liang,6/17/1969
335483,Roy Shugart,3/4/1961
519030,Jason Blossom,9/3/1978
815341,Owen Tafolla,1/3/1971
663334,Donald Eide,4/9/1994
630800,Dominic Kirch,11/29/1961
582949,Johnnie Pyron,2/13/1970
662865,Ian Dunkley,3/21/1991
336256,Dana Trosper,5/21/1959
632216,Willy Jelinek,8/27/1957
184821,Guadalupe Baine,11/29/1990
594445,Sean Buckman,10/14/1969
996595,Arlie Landaverde,4/24/1994
174855,Dale Najar,8/31/1983
763720,Jamey Florence,8/31/1968
570638,Ramon Whitacre,11/17/1995
596011,Arnoldo Durante,1/29/1966
348179,Patrick Spence,7/5/1973
884588,Randell Alejos,1/15/1968
285509,Erich Blakeslee,9/27/1988
552309,Pablo Crabill,6/8/1966
732106,Francisco Osby,5/30/1973
974344,Lee Kuss,5/1/1976
958296,Tyson Kratz,1/13/1990
374442,Orville Foran,7/22/1980
410890,Emile Gibbon,11/15/1966
280223,Derrick Slape,12/22/1961
236189,Ronnie Kaiser,6/8/1988
509729,Gregorio Coldiron,6/25/1984
987016,Jonas Radabaugh,2/8/1972
272547,Allen Helmuth,12/15/1971
652663,Randall Henkle,2/7/1978
968858,Chuck Renn,8/10/1964
928421,Wade Joslyn,7/27/1983
269730,Abraham Kennamer,5/27/1995
530254,Neal Behler,2/28/1978
173108,Harlan Neufeld,2/20/1976
804603,Glen High,6/20/1991
396610,Reginald Arambula,2/1/1983
216672,Lane Ellerbee,3/30/1974
246014,Grady Kuiper,9/17/1967
744957,Antione Tittle,3/31/1962
320558,Delmar Kirchner,10/28/1983
543136,Rafael Simkins,12/13/1976
971701,Lauren Cozad,10/2/1995
785995,Errol David,1/6/1975
876481,Drew Bibby,1/30/1969
616036,Heath Lapinski,5/21/1963
197663,Hassan Millsap,2/21/1971
551903,Moises Bridwell,3/19/1968
580709,Daniel Gleaton,5/30/1969
275270,Genaro Timothy,8/7/1974
681983,Fred Darrah,6/30/1990
935097,Horace Plummer,12/8/1992
367107,Rayford Lagrange,12/26/1976
997021,Raymundo Tsan,3/4/1979
273891,Dick Lusk,11/29/1965
665666,Joaquin Seiter,8/10/1959
545409,Stan Pietsch,2/8/1965
796535,Frances Cordova,8/25/1970
983207,Coy Chatterton,3/26/1995
214150,Rudolf Swain,4/5/1969
648437,Napoleon Groce,8/19/1985
908673,Shannon Quintana,1/16/1987
494230,Charles Ebner,10/7/1991
583208,Donte Buckland,4/2/1982
390439,Lynn Ceja,8/6/1993
246252,Damien Thorton,5/23/1974
790738,Burt Isham,8/14/1976
543727,Fletcher Skillings,8/28/1993
847641,Stephen Condit,8/10/1983
747259,Mckinley Morehead,3/7/1962
114322,Jeffry Wetherell,4/2/1981
315379,Damien Gerhard,10/17/1974
527693,Augustus Rorie,5/19/1970
499857,Enoch Cuddy,11/18/1965
256052,Scot Beardsley,1/4/1989
136067,Lonny Carlberg,9/1/1970
550222,Emory Olden,3/26/1969
422936,Joseph Boddy,6/21/1967
737032,Frederick Sohn,8/6/1993
831364,Winfred Rawlins,7/26/1963
271839,Normand Remmers,8/9/1976
502228,Andrea Longino,11/22/1973
322291,Trent Sloane,7/30/1979
161743,Vince Haskins,6/25/1970
244462,Ty Thurber,7/21/1989
693081,Lenny Jaeger,8/7/1958
534669,Carrol Connor,11/3/1980
947569,Cornelius Hartt,8/28/1984
951437,Garfield Vandervort,3/30/1986
267687,Elias Bigley,12/28/1958
502042,Joesph Duppstadt,3/7/1983
749661,Harland Tutt,1/28/1995
876975,Dion Dahmen,6/7/1984
940074,Devin Whitener,12/19/1978
915653,Gus Carbajal,9/22/1982
438733,Roosevelt Banh,12/19/1966
131157,Sherman Weber,12/31/1982
435558,Antony Becton,6/11/1969
210669,Marty Hockenberry,6/24/1966
542616,Eugenio Perrault,3/23/1978
741598,Stevie Schuyler,6/4/1981
504626,Bob Papadopoulos,10/9/1964
746737,Alfonzo Rettig,10/10/1970
482373,Otha Sung,1/23/1966
945114,Terrence Furman,4/28/1960
936830,Tanner Budge,4/20/1985
988537,Shaun Spadaro,10/30/1983
697294,Nathanial Hoey,5/13/1980
368278,Harrison Keough,11/10/1978
